"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_renovated","zipcode","yr_old"
"1",221.9,3,1,1180,5650,1,0,0,3,7,1180,0,0,98178,66
"2",538,3,2,2570,7242,2,0,NA,3,7,2170,400,1991,98125,70
"3",180,2,1,770,10000,1,0,0,3,6,770,0,0,98028,88
"4",604,4,3,1960,5000,1,0,0,5,7,1050,910,0,98136,56
"5",510,3,2,1680,8080,1,0,0,3,8,1680,0,0,98074,34
"6",1225,4,4,5420,101930,1,0,0,3,11,3890,1530,0,98053,20
"7",257.5,3,2,1715,6819,2,0,0,3,7,1715,0,0,NA,26
"8",291.85,3,2,1060,9711,1,0,0,3,7,1060,0,0,98198,58
"9",229.5,3,1,1780,7470,1,0,0,3,7,1050,730,0,98146,61
"10",323,3,2,1890,6560,2,0,0,3,7,NA,0,0,98038,18
"11",468,2,1,1160,6000,1,0,0,4,7,860,300,0,98115,79
"12",310,3,1,1430,19901,2,0,0,4,7,1430,0,0,98028,94
"13",400,3,2,1370,9680,1,0,0,4,7,1370,0,0,98074,44
"14",530,5,2,1810,4850,2,0,0,3,7,1810,0,0,98107,121
"15",650,4,3,2950,5000,2,0,3,3,9,1980,970,0,98126,42
"16",395,3,2,1890,14040,2,0,0,3,7,1890,0,0,98019,27
"17",189,2,1,1200,9850,1,0,0,4,7,1200,0,0,98002,100
"18",230,3,1,1250,9774,1,0,0,4,7,1250,0,0,98003,52
"19",385,4,2,1620,4980,1,0,0,4,7,860,760,0,98133,74
"20",2000,3,3,3050,44867,1,0,4,3,9,2330,720,0,98040,53
"21",285,5,2,2270,6300,2,0,0,3,8,2270,0,0,98092,26
"22",252.7,2,2,1070,9643,1,0,0,3,7,1070,0,0,98030,36
"23",329,3,2,2450,6500,2,0,0,4,8,2450,0,NA,98030,36
"24",233,3,2,1710,4697,2,0,0,5,6,1710,0,0,98002,80
"25",937,3,2,2450,2691,2,0,0,3,8,NA,700,0,98119,106
"26",667,3,1,1400,1581,2,0,0,5,8,1400,0,0,98112,112
"27",438,3,2,1520,6380,1,0,0,3,7,790,730,NA,98115,73
"28",719,4,2,2570,7173,NA,0,0,3,8,2570,0,0,98052,16
"29",580.5,3,2,2320,3980,2,0,0,3,8,2320,0,0,98027,18
"30",280,2,2,1190,1265,3,0,0,3,7,1190,0,0,98133,16
"31",687.5,4,2,2330,5000,NA,0,0,4,7,1510,820,0,98117,92
"32",535,3,1,1090,3000,2,0,0,4,8,NA,0,0,98117,92
"33",322.5,4,3,2060,6659,1,0,0,3,7,1280,780,0,98058,40
"34",696,3,2,2300,3060,2,0,0,3,8,1510,790,2002,98115,91
"35",550,4,1,NA,34848,1,0,0,1,5,930,730,0,98052,88
"36",640,4,2,2360,6000,2,0,0,4,8,2360,0,0,98107,117
"37",240,4,1,1220,8075,1,0,0,2,7,890,330,0,98001,52
"38",605,4,2,2620,7553,2,0,0,3,8,2620,0,0,98056,25
"39",625,4,2,2570,5520,2,0,0,3,9,2570,0,0,98074,21
"40",775,4,2,4220,24186,1,0,0,3,8,2600,1620,0,98166,37
"41",861.99,5,3,3595,5639,2,0,0,3,9,3595,0,0,98053,7
"42",685,3,1,1570,NA,2,0,0,3,7,1570,0,0,98119,99
"43",309,3,1,1280,9656,1,0,0,4,6,920,360,0,98058,62
"44",488,3,2,3160,13603,2,0,0,3,8,3160,0,0,98019,18
"45",210.49,3,1,990,8528,1,0,0,3,6,990,0,0,98023,55
"46",785,4,2,2290,13416,2,0,0,4,9,2290,0,0,98007,40
"47",450,3,2,1250,5963,1,0,0,4,7,1250,0,0,98115,68
"48",1350,3,2,2753,65005,1,1,2,5,9,2165,588,0,98070,68
"49",228,3,1,1190,9199,1,0,0,3,7,1190,NA,0,98148,66
"50",345,5,2,3150,9134,1,0,0,4,8,1640,1510,0,98056,55
"51",600,3,2,1410,4080,1,0,0,4,7,1000,410,0,98117,71
"52",585,2,2,1980,8550,1,0,0,3,7,990,NA,0,98117,40
"53",920,5,2,2730,6000,2,0,0,3,8,2130,600,0,NA,94
"54",885,4,2,2830,5000,2,0,0,3,9,2830,0,NA,98105,26
"55",292.5,4,2,2250,4495,2,0,0,3,7,2250,0,0,98042,13
"56",301,3,NA,2420,4750,2,0,0,3,8,2420,0,0,98042,18
"57",951,5,3,3250,NA,2,0,4,4,8,3250,0,0,98008,53
"58",430,4,3,1850,9976,2,0,0,3,8,1850,0,0,98059,30
"59",650,3,2,2150,21235,1,0,3,4,8,1590,560,0,98166,62
"60",289,3,2,1260,8400,1,0,0,3,7,1260,0,0,98148,67
"61",505,3,2,2519,8690,2,0,0,5,8,2519,0,0,98166,48
"62",549,3,2,1540,1044,3,0,0,3,8,1540,0,0,98115,7
"63",425,3,2,1660,6000,1,0,0,3,7,1110,550,0,98122,42
"64",317.625,3,3,2770,3809,2,0,0,5,7,1770,1000,0,98144,96
"65",975,4,2,2720,11049,2,0,0,3,10,2720,0,0,98004,32
"66",287,4,2,2240,4648,2,0,0,3,7,2240,0,NA,98001,16
"67",204,3,1,1000,12070,1,0,0,4,7,1000,0,0,98042,53
"68",1325,5,2,3200,20158,1,0,0,3,8,1600,1600,0,98004,NA
"69",1040,5,3,4770,50094,1,0,0,4,11,3070,1700,0,98005,48
"70",325,3,2,1260,5612,1,0,0,4,7,1260,0,0,98034,49
"71",571,4,2,2750,7807,2,0,0,5,7,2250,500,0,98125,105
"72",360,4,2,2380,5000,2,0,0,3,8,2380,0,0,98038,16
"73",349,3,2,1790,50529,1,0,0,5,7,1090,700,0,98042,56
"74",832.5,4,4,3430,35102,2,0,0,4,10,2390,1040,0,98075,35
"75",380,4,2,1760,7300,1,0,0,3,7,880,880,0,98008,65
"76",480,3,1,1040,5060,1,0,0,3,7,1040,0,0,98116,80
"77",410,3,1,1410,5060,1,0,0,4,7,910,500,0,98133,65
"78",720,4,2,3450,39683,2,0,0,NA,10,3450,0,0,98010,19
"79",390,3,2,2350,5100,2,0,0,3,8,2350,0,NA,98038,18
"80",360,4,2,1900,5889,2,0,0,3,7,1900,0,0,98038,29
"81",355,2,1,2020,6720,1,0,0,3,7,1010,1010,0,98118,73
"82",356,3,2,1680,8712,1,0,0,3,8,1680,0,0,98059,57
"83",315,3,1,960,6634,1,0,0,3,NA,960,0,0,98125,69
"84",940,3,2,2140,3600,2,0,0,3,9,1900,NA,0,98119,96
"85",305,5,2,2660,8400,2,0,0,5,7,2660,0,0,98092,60
"86",461,3,3,2770,6278,2,0,0,3,9,1980,790,0,98056,15
"87",215,2,2,1610,2040,2,0,0,4,7,1610,NA,0,98056,42
"88",335,2,2,1030,1066,2,NA,0,3,7,765,265,0,98136,15
"89",243.5,4,2,1980,7403,2,0,0,3,7,1980,0,0,98023,33
"90",1099.88,5,3,3520,6353,2,0,0,4,10,3520,0,0,98199,20
"91",153,3,1,1200,10500,1,0,0,3,7,1200,0,0,98023,59
"92",430,3,2,1580,5000,1,0,0,NA,8,1290,290,0,98117,82
"93",700,3,2,1580,NA,1,0,0,3,8,1290,290,0,98117,82
"94",905,4,2,3300,10250,1,0,0,3,7,2390,910,1991,98040,75
"95",247.5,3,2,1960,15681,1,0,0,3,7,1960,0,0,98032,54
"96",199,4,2,1160,6400,1,0,0,4,7,1160,0,0,98023,46
"97",314,3,2,1810,41800,1,0,0,5,7,1210,600,0,98038,41
"98",437.5,3,2,2320,NA,2,0,2,3,9,2320,0,0,98045,29
"99",850.83,3,2,2070,13241,NA,0,0,5,9,1270,800,0,98102,111
"100",555,3,2,1980,3478,2,0,0,4,7,1440,540,0,98117,92
"101",699.95,3,2,2190,107593,2,0,0,4,8,2190,0,0,98077,38
"102",1088,3,2,2920,8113,2,0,0,3,8,2920,0,2010,98004,71
"103",290,3,1,1210,33919,1,0,0,3,7,1210,0,0,98058,67
"104",375,3,2,2340,10005,1,0,0,NA,8,1460,880,0,98058,43
"105",460,3,1,1670,4005,2,0,0,4,7,1170,500,0,98117,82
"106",188.5,2,2,1240,2493,1,0,0,4,8,1240,0,0,98198,36
"107",680,4,2,3140,28037,2,0,0,4,10,3140,0,0,98077,30
"108",470,5,2,2030,12342,NA,0,0,4,7,2030,0,0,98052,79
"109",597.75,4,2,2310,9624,2,0,0,3,8,2310,0,0,98027,37
"110",570,3,2,1260,3328,1,0,0,5,6,700,560,0,NA,116
"111",272.5,3,2,1540,12600,1,0,0,4,7,1160,380,0,98038,41
"112",329.95,3,2,2080,5969,1,0,2,3,7,1080,1000,0,98108,50
"113",480,4,NA,3230,16171,2,0,3,3,9,2520,710,0,98001,20
"114",740.5,3,4,4380,6350,2,0,0,3,8,2780,1600,1999,98117,121
"115",518.5,3,4,1590,1102,3,0,0,3,8,1590,0,0,98103,11
"116",205.425,2,1,880,6780,1,0,0,4,6,880,0,0,98178,76
"117",171.8,4,2,1570,9600,1,0,0,3,6,1570,0,0,98168,71
"118",535,4,1,1610,2982,2,0,0,NA,7,1610,0,0,98144,96
"119",660,3,2,2400,6474,1,0,2,3,8,1560,840,0,98177,57
"120",391.5,3,2,1450,9132,1,0,0,3,7,1450,0,0,98034,34
"121",395,2,1,770,6000,1,0,0,3,6,770,0,0,98117,68
"122",445,4,2,2100,4400,2,0,0,5,7,1720,380,0,98118,97
